"time","investment","currentValue","pnl","pnlPercent"
"2026-08-27T12:16:28.255Z","1784585.01","1799112.35","14527.34","0.81"
"2026-08-27T12:16:31.264Z","1784585.01","1798274.05","13689.04","0.77"
"2026-08-27T12:16:34.274Z","1784585.01","1796754.37","12169.36","0.68"
"2026-08-27T12:16:37.280Z","1784585.01","1798389.85","13804.84","0.77"
"2026-08-27T12:16:40.285Z","1784585.01","1799073.07","14488.06","0.81"
"2026-08-27T12:16:43.298Z","1784585.01","1800980.7","16395.69","0.92"
"2026-08-27T12:16:46.304Z","1784585.01","1802228.54","17643.53","0.99"
"2026-08-27T12:16:49.309Z","1784585.01","1803268.1","18683.09","1.05"
"2026-08-27T12:16:52.310Z","1784585.01","1804684.23","20099.22","1.13"
"2026-08-27T12:16:55.322Z","1784585.01","1805018.21","20433.2","1.14"
"2026-08-27T12:16:58.328Z","1784585.01","1807309.18","22724.17","1.27"
"2026-08-27T12:17:01.338Z","1784585.01","1806474.68","21889.67","1.23"
"2026-08-27T12:17:04.352Z","1784585.01","1804629.52","20044.51","1.12"
"2026-08-27T12:17:07.365Z","1784585.01","1807931.56","23346.55","1.31"
"2026-08-27T12:17:10.375Z","1784585.01","1808557.13","23972.12","1.34"
"2026-08-27T12:17:13.377Z","1784585.01","1804656.97","20071.96","1.12"
"2026-08-27T12:17:16.391Z","1784585.01","1804442.36","19857.35","1.11"
"2026-08-27T12:17:19.406Z","1784585.01","1801625.66","17040.65","0.95"
"2026-08-27T12:17:22.407Z","1784585.01","1803962.17","19377.16","1.09"
"2026-08-27T12:17:25.421Z","1784585.01","1803242.67","18657.66","1.05"
"2026-08-27T12:17:28.436Z","1784585.01","1803040.39","18455.38","1.03"
"2026-08-27T12:17:31.451Z","1784585.01","1804116.21","19531.2","1.09"
"2026-08-27T12:17:34.460Z","1784585.01","1801510.29","16925.28","0.95"
"2026-08-27T12:17:37.467Z","1784585.01","1799034.54","14449.53","0.81"
"2026-08-27T12:17:40.481Z","1784585.01","1798833.88","14248.87","0.8"
"2026-08-27T12:17:43.487Z","1784585.01","1801644.83","17059.82","0.96"
"2026-08-27T12:17:46.490Z","1784585.01","1801210.38","16625.37","0.93"
"2026-08-27T12:17:49.494Z","1784585.01","1802884.67","18299.66","1.03"
"2026-08-27T12:17:52.499Z","1784585.01","1802438.48","17853.47","1"
"2026-08-27T12:17:55.509Z","1784585.01","1801846.46","17261.45","0.97"
"2026-08-27T12:17:58.513Z","1784585.01","1801284.53","16699.52","0.94"
"2026-08-27T12:18:01.525Z","1784585.01","1800408.6","15823.59","0.89"
"2026-08-27T12:18:04.534Z","1784585.01","1798150.37","13565.36","0.76"
"2026-08-27T12:18:07.540Z","1784585.01","1798292.44","13707.43","0.77"
"2026-08-27T12:18:10.549Z","1784585.01","1799390.82","14805.81","0.83"
"2026-08-27T12:18:13.563Z","1784585.01","1800292.74","15707.73","0.88"
"2026-08-27T12:18:16.573Z","1784585.01","1799506.46","14921.45","0.84"
"2026-08-27T12:18:19.583Z","1784585.01","1798293.76","13708.75","0.77"
"2026-08-27T12:18:22.598Z","1784585.01","1799706.78","15121.77","0.85"
"2026-08-27T12:18:25.607Z","1784585.01","1798792.73","14207.72","0.8"
"2026-08-27T12:18:28.619Z","1784585.01","1800171.76","15586.75","0.87"
"2026-08-27T12:18:31.627Z","1784585.01","1803571.73","18986.72","1.06"
"2026-08-27T12:18:34.628Z","1784585.01","1805077.91","20492.9","1.15"
"2026-08-27T12:18:37.628Z","1784585.01","1806296.43","21711.42","1.22"
"2026-08-27T12:18:40.643Z","1784585.01","1809255.61","24670.6","1.38"
"2026-08-27T12:18:43.643Z","1784585.01","1809931.99","25346.98","1.42"
"2026-08-27T12:18:46.650Z","1784585.01","1810268.27","25683.26","1.44"
"2026-08-27T12:18:49.657Z","1784585.01","1807980.1","23395.09","1.31"
"2026-08-27T12:18:52.669Z","1784585.01","1809491.38","24906.37","1.4"
"2026-08-27T12:18:55.674Z","1784585.01","1811650.87","27065.86","1.52"
"2026-08-27T12:18:58.686Z","1784585.01","1811699.61","27114.6","1.52"
"2026-08-27T12:19:01.700Z","1784585.01","1809741.77","25156.76","1.41"
"2026-08-27T12:19:04.714Z","1784585.01","1811430.34","26845.33","1.5"
"2026-08-27T12:19:07.722Z","1784585.01","1810144.68","25559.67","1.43"
"2026-08-27T12:19:10.735Z","1784585.01","1808830.69","24245.68","1.36"
"2026-08-27T12:19:13.750Z","1784585.01","1810063.51","25478.5","1.43"
"2026-08-27T12:19:16.756Z","1784585.01","1806707.86","22122.85","1.24"
"2026-08-27T12:19:19.766Z","1784585.01","1807235.4","22650.39","1.27"
"2026-08-27T12:19:22.770Z","1784585.01","1807212.04","22627.03","1.27"
"2026-08-27T12:19:25.785Z","1784585.01","1808512.33","23927.32","1.34"
"2026-08-27T12:19:28.787Z","1784585.01","1807121.69","22536.68","1.26"
"2026-08-27T12:19:31.797Z","1784585.01","1807942.61","23357.6","1.31"
"2026-08-27T12:19:34.809Z","1784585.01","1805870","21284.99","1.19"
"2026-08-27T12:19:37.820Z","1784585.01","1804220.28","19635.27","1.1"
"2026-08-27T12:19:40.833Z","1784585.01","1803064.85","18479.84","1.04"
"2026-08-27T12:19:43.836Z","1784585.01","1804248.52","19663.51","1.1"
"2026-08-27T12:19:46.849Z","1784585.01","1803431.02","18846.01","1.06"
"2026-08-27T12:19:49.862Z","1784585.01","1805210.01","20625","1.16"
"2026-08-27T12:19:52.865Z","1784585.01","1801311.63","16726.62","0.94"
"2026-08-27T12:19:55.874Z","1784585.01","1800113.14","15528.13","0.87"
"2026-08-27T12:19:58.885Z","1784585.01","1802613.28","18028.27","1.01"
"2026-08-27T12:20:01.889Z","1784585.01","1802310.07","17725.06","0.99"
"2026-08-27T12:20:04.894Z","1784585.01","1801944.72","17359.71","0.97"
"2026-08-27T12:20:07.897Z","1784585.01","1800221.35","15636.34","0.88"
"2026-08-27T12:20:10.897Z","1784585.01","1797182.05","12597.04","0.71"
"2026-08-27T12:20:13.910Z","1784585.01","1792641.08","8056.07","0.45"
"2026-08-27T12:20:16.914Z","1784585.01","1793743.09","9158.08","0.51"
"2026-08-27T12:20:19.916Z","1784585.01","1793329.63","8744.62","0.49"
"2026-08-27T12:20:22.927Z","1784585.01","1792995.44","8410.43","0.47"
"2026-08-27T12:20:25.932Z","1784585.01","1792430.47","7845.46","0.44"
"2026-08-27T12:20:28.938Z","1784585.01","1793283.67","8698.66","0.49"
"2026-08-27T12:20:31.949Z","1784585.01","1791917.63","7332.62","0.41"
"2026-08-27T12:20:34.961Z","1784585.01","1793773.45","9188.44","0.51"
"2026-08-27T12:20:37.976Z","1784585.01","1793444.41","8859.4","0.5"
"2026-08-27T12:20:40.991Z","1784585.01","1793963.35","9378.34","0.53"
"2026-08-27T12:20:44.004Z","1784585.01","1793610.08","9025.07","0.51"
"2026-08-27T12:20:47.012Z","1784585.01","1795073","10487.99","0.59"
"2026-08-27T12:20:50.017Z","1784585.01","1793569.19","8984.18","0.5"
"2026-08-27T12:20:53.032Z","1784585.01","1796223.13","11638.12","0.65"
"2026-08-27T12:20:56.040Z","1784585.01","1800005.86","15420.85","0.86"
"2026-08-27T12:20:59.053Z","1784585.01","1799018.51","14433.5","0.81"
"2026-08-27T12:21:02.065Z","1784585.01","1797544.73","12959.72","0.73"
"2026-08-27T12:21:05.076Z","1784585.01","1798572.14","13987.13","0.78"
"2026-08-27T12:21:08.087Z","1784585.01","1801618.56","17033.55","0.95"
"2026-08-27T12:21:11.095Z","1784585.01","1803702.55","19117.54","1.07"
"2026-08-27T12:21:14.108Z","1784585.01","1806094.91","21509.9","1.21"
"2026-08-27T12:21:17.122Z","1784585.01","1803195.5","18610.49","1.04"
"2026-08-27T12:21:20.122Z","1784585.01","1805245.02","20660.01","1.16"
"2026-08-27T12:21:23.127Z","1784585.01","1806887.8","22302.79","1.25"
"2026-08-27T12:21:26.135Z","1784585.01","1807181.88","22596.87","1.27"
"2026-08-27T12:21:29.139Z","1784585.01","1810433.94","25848.93","1.45"
"2026-08-27T12:21:32.151Z","1784585.01","1810297.71","25712.7","1.44"
"2026-08-27T12:21:35.162Z","1784585.01","1810784.96","26199.95","1.47"
"2026-08-27T12:21:38.175Z","1784585.01","1809468.28","24883.27","1.39"
"2026-08-27T12:21:41.184Z","1784585.01","1810057.01","25472","1.43"
"2026-08-27T12:21:44.187Z","1784585.01","1808235.49","23650.48","1.33"
"2026-08-27T12:21:47.189Z","1784585.01","1809581.58","24996.57","1.4"
"2026-08-27T12:21:50.200Z","1784585.01","1806596.25","22011.24","1.23"
"2026-08-27T12:21:53.208Z","1784585.01","1805930.21","21345.2","1.2"
"2026-08-27T12:21:56.215Z","1784585.01","1807515.21","22930.2","1.28"
"2026-08-27T12:21:59.225Z","1784585.01","1807447.25","22862.24","1.28"
"2026-08-27T12:22:02.227Z","1784585.01","1808041.36","23456.35","1.31"
"2026-08-27T12:22:05.229Z","1784585.01","1808114.04","23529.03","1.32"
"2026-08-27T12:22:08.241Z","1784585.01","1804893.9","20308.89","1.14"
"2026-08-27T12:22:11.244Z","1784585.01","1803409.38","18824.37","1.05"
"2026-08-27T12:22:14.252Z","1784585.01","1803116.11","18531.1","1.04"
"2026-08-27T12:22:17.264Z","1784585.01","1800248.23","15663.22","0.88"
"2026-08-27T12:22:20.277Z","1784585.01","1800198.86","15613.85","0.87"
"2026-08-27T12:22:23.278Z","1784585.01","1797532.8","12947.79","0.73"
"2026-08-27T12:22:26.278Z","1784585.01","1800170.12","15585.11","0.87"
"2026-08-27T12:22:29.293Z","1784585.01","1797306.92","12721.91","0.71"
"2026-08-27T12:22:32.302Z","1784585.01","1795628.79","11043.78","0.62"
"2026-08-27T12:22:35.314Z","1784585.01","1793077.4","8492.39","0.48"
"2026-08-27T12:22:38.317Z","1784585.01","1791598.57","7013.56","0.39"
"2026-08-27T12:22:41.328Z","1784585.01","1789642.18","5057.17","0.28"
"2026-08-27T12:22:44.338Z","1784585.01","1787378.06","2793.05","0.16"
"2026-08-27T12:22:47.343Z","1784585.01","1790121.88","5536.87","0.31"
"2026-08-27T12:22:50.356Z","1784585.01","1794207.15","9622.14","0.54"
"2026-08-27T12:22:53.365Z","1784585.01","1792043.7","7458.69","0.42"
"2026-08-27T12:22:56.379Z","1784585.01","1789552.56","4967.55","0.28"
"2026-08-27T12:22:59.390Z","1784585.01","1787528.41","2943.4","0.16"
"2026-08-27T12:23:02.404Z","1784585.01","1786218.33","1633.32","0.09"
"2026-08-27T12:23:05.415Z","1784585.01","1785984.62","1399.61","0.08"
"2026-08-27T12:23:08.424Z","1784585.01","1786968.98","2383.97","0.13"
"2026-08-27T12:23:11.427Z","1784585.01","1787200.64","2615.63","0.15"
"2026-08-27T12:23:14.427Z","1784585.01","1784757.82","172.81","0.01"
"2026-08-27T12:23:17.437Z","1784585.01","1787117.54","2532.53","0.14"
"2026-08-27T12:23:20.449Z","1784585.01","1787363.66","2778.65","0.16"
"2026-08-27T12:23:23.455Z","1784585.01","1786814.17","2229.16","0.12"
"2026-08-27T12:23:26.455Z","1784585.01","1784081.4","-503.61","-0.03"
"2026-08-27T12:23:29.471Z","1784585.01","1781553.12","-3031.89","-0.17"
"2026-08-27T12:23:32.483Z","1784585.01","1782390.57","-2194.44","-0.12"
"2026-08-27T12:23:35.496Z","1784585.01","1782787.92","-1797.09","-0.1"
"2026-08-27T12:23:38.505Z","1784585.01","1784766.49","181.48","0.01"
"2026-08-27T12:23:41.520Z","1784585.01","1785989.77","1404.76","0.08"
"2026-08-27T12:23:44.534Z","1784585.01","1786553.35","1968.34","0.11"
"2026-08-27T12:23:47.536Z","3544668.54","3545156.24","487.7","0.01"
"2026-08-27T12:23:50.539Z","3544668.54","3546202.21","1533.67","0.04"
"2026-08-27T12:23:53.554Z","3544668.54","3550874.2","6205.66","0.18"
"2026-08-27T12:23:56.560Z","3544668.54","3553404.37","8735.83","0.25"
"2026-08-27T12:23:59.575Z","3544668.54","3552364.69","7696.15","0.22"
"2026-08-27T12:24:02.589Z","3544668.54","3552302.54","7634","0.22"
"2026-08-27T12:24:05.593Z","3544668.54","3553180.62","8512.08","0.24"
"2026-08-27T12:24:08.594Z","3544668.54","3556526.42","11857.88","0.33"
"2026-08-27T12:24:11.597Z","3544668.54","3556313.82","11645.28","0.33"
"2026-08-27T12:24:14.607Z","3544668.54","3558338.79","13670.25","0.39"
"2026-08-27T12:24:17.609Z","3544668.54","3560588.01","15919.47","0.45"
"2026-08-27T12:24:20.619Z","3544668.54","3553257.48","8588.94","0.24"
"2026-08-27T12:24:23.623Z","3544668.54","3559861.01","15192.47","0.43"
"2026-08-27T12:24:26.627Z","3544668.54","3562312","17643.46","0.5"
"2026-08-27T12:24:29.627Z","3544668.54","3565357.18","20688.64","0.58"
"2026-08-27T12:24:32.636Z","3544668.54","3563178.28","18509.74","0.52"
"2026-08-27T12:24:35.647Z","3544668.54","3563023.83","18355.29","0.52"
"2026-08-27T12:24:38.653Z","3544668.54","3561846.02","17177.48","0.48"
"2026-08-27T12:24:41.662Z","3544668.54","3564805","20136.46","0.57"
"2026-08-27T12:24:44.677Z","3544668.54","3562926.91","18258.37","0.52"
"2026-08-27T12:24:47.685Z","3544668.54","3562012.12","17343.58","0.49"
"2026-08-27T12:24:50.687Z","3544668.54","3558602.56","13934.02","0.39"
"2026-08-27T12:24:53.692Z","3544668.54","3558285.95","13617.41","0.38"
"2026-08-27T12:24:56.704Z","3544668.54","3556049.94","11381.4","0.32"
"2026-08-27T12:24:59.711Z","3544668.54","3555951.01","11282.47","0.32"
"2026-08-27T12:25:02.713Z","3544668.54","3552601.7","7933.16","0.22"
"2026-08-27T12:25:05.725Z","3544668.54","3553583.88","8915.34","0.25"
"2026-08-27T12:25:08.725Z","3544668.54","3552947.67","8279.13","0.23"
"2026-08-27T12:25:11.736Z","3544668.54","3549231.04","4562.5","0.13"
"2026-08-27T12:25:14.749Z","3544668.54","3548088.46","3419.92","0.1"
"2026-08-27T12:25:17.764Z","3544668.54","3551935.33","7266.79","0.21"
"2026-08-27T12:25:20.772Z","3544668.54","3548555.48","3886.94","0.11"
"2026-08-27T12:25:23.780Z","3544668.54","3544206.88","-461.66","-0.01"
"2026-08-27T12:25:26.782Z","3544668.54","3548687.08","4018.54","0.11"
"2026-08-27T12:25:29.791Z","3544668.54","3552220.41","7551.87","0.21"
"2026-08-27T12:25:32.796Z","3544668.54","3555275.64","10607.1","0.3"
"2026-08-27T12:25:35.797Z","3544668.54","3555396.07","10727.53","0.3"
"2026-08-27T12:25:38.804Z","3544668.54","3554461.42","9792.88","0.28"
"2026-08-27T12:25:41.810Z","3544668.54","3557991.13","13322.59","0.38"
"2026-08-27T12:25:44.824Z","3544668.54","3551118.23","6449.69","0.18"
"2026-08-27T12:25:47.834Z","3544668.54","3552108.39","7439.85","0.21"
"2026-08-27T12:25:50.840Z","3544668.54","3550379.55","5711.01","0.16"
"2026-08-27T12:25:53.842Z","3544668.54","3553575.08","8906.54","0.25"
"2026-08-27T12:25:56.850Z","3544668.54","3553239.11","8570.57","0.24"
"2026-08-27T12:25:59.853Z","3544668.54","3552639.17","7970.63","0.22"
"2026-08-27T12:26:02.860Z","3544668.54","3552060.11","7391.57","0.21"
"2026-08-27T12:26:05.870Z","3544668.54","3547697.45","3028.91","0.09"
"2026-08-27T12:26:08.871Z","3544668.54","3544458.33","-210.21","-0.01"
"2026-08-27T12:26:11.878Z","3544668.54","3548715.36","4046.82","0.11"
"2026-08-27T12:26:14.879Z","3544668.54","3548858.54","4190","0.12"
"2026-08-27T12:26:17.880Z","3544668.54","3553257.76","8589.22","0.24"
"2026-08-27T12:26:20.895Z","3544668.54","3552720.82","8052.28","0.23"
"2026-08-27T12:26:23.905Z","3544668.54","3547797.64","3129.1","0.09"
"2026-08-27T12:26:26.915Z","3544668.54","3551501.27","6832.73","0.19"
"2026-08-27T12:26:29.924Z","3544668.54","3549750.54","5082","0.14"
"2026-08-27T12:26:32.929Z","3544668.54","3547077.74","2409.2","0.07"
"2026-08-27T12:26:35.930Z","3544668.54","3545905.55","1237.01","0.03"
"2026-08-27T12:26:38.932Z","3544668.54","3548124.49","3455.95","0.1"
"2026-08-27T12:26:41.940Z","3544668.54","3545642.41","973.87","0.03"
"2026-08-27T12:26:44.944Z","3544668.54","3545939.24","1270.7","0.04"
"2026-08-27T12:26:47.949Z","3544668.54","3544759.08","90.54","0"
"2026-08-27T12:26:50.963Z","3544668.54","3544541.35","-127.19","0"
"2026-08-27T12:26:53.971Z","3544668.54","3545085.36","416.82","0.01"
"2026-08-27T12:26:56.985Z","3544668.54","3547130.99","2462.45","0.07"
"2026-08-27T12:26:59.989Z","3544668.54","3542597.66","-2070.88","-0.06"
"2026-08-27T12:27:03.003Z","3544668.54","3535988.62","-8679.92","-0.24"
"2026-08-27T12:27:06.015Z","3544668.54","3537590.59","-7077.95","-0.2"
"2026-08-27T12:27:09.020Z","3544668.54","3541587.16","-3081.38","-0.09"
"2026-08-27T12:27:12.027Z","3544668.54","3543688.73","-979.81","-0.03"
"2026-08-27T12:27:15.038Z","3544668.54","3544029.84","-638.7","-0.02"
"2026-08-27T12:27:18.050Z","3544668.54","3542066.29","-2602.25","-0.07"
"2026-08-27T12:27:21.055Z","3544668.54","3543197.57","-1470.97","-0.04"
"2026-08-27T12:27:24.066Z","3544668.54","3540302.62","-4365.92","-0.12"
"2026-08-27T12:27:27.069Z","3544668.54","3536349.58","-8318.96","-0.23"
"2026-08-27T12:27:30.070Z","3544668.54","3537617.26","-7051.28","-0.2"
"2026-08-27T12:27:33.071Z","3544668.54","3542659.47","-2009.07","-0.06"
"2026-08-27T12:27:36.079Z","3544668.54","3544901.3","232.76","0.01"
"2026-08-27T12:27:39.092Z","3544668.54","3549453.74","4785.2","0.13"
"2026-08-27T12:27:42.098Z","3544668.54","3546909.32","2240.78","0.06"
"2026-08-27T12:27:45.099Z","3544668.54","3541767.46","-2901.08","-0.08"
"2026-08-27T12:27:48.107Z","3544668.54","3540113.83","-4554.71","-0.13"
"2026-08-27T12:27:51.111Z","3544668.54","3538539.83","-6128.71","-0.17"
"2026-08-27T12:27:54.120Z","3544668.54","3541551.96","-3116.58","-0.09"
"2026-08-27T12:27:57.121Z","3544668.54","3542652.09","-2016.45","-0.06"
"2026-08-27T12:28:00.128Z","3544668.54","3539783.73","-4884.81","-0.14"
"2026-08-27T12:28:03.133Z","3544668.54","3538075.66","-6592.88","-0.19"
"2026-08-27T12:28:06.134Z","3544668.54","3538307.06","-6361.48","-0.18"
"2026-08-27T12:28:09.142Z","3544668.54","3536697.74","-7970.8","-0.22"
"2026-08-27T12:28:12.150Z","3544668.54","3536560.28","-8108.26","-0.23"
"2026-08-27T12:28:15.164Z","3544668.54","3535890.3","-8778.24","-0.25"
"2026-08-27T12:28:18.169Z","3544668.54","3535526.79","-9141.75","-0.26"
"2026-08-27T12:28:21.181Z","3544668.54","3537156.36","-7512.18","-0.21"
"2026-08-27T12:28:24.188Z","3544668.54","3539287.56","-5380.98","-0.15"
"2026-08-27T12:28:27.195Z","3544668.54","3540097.01","-4571.53","-0.13"
"2026-08-27T12:28:30.201Z","3544668.54","3541862.85","-2805.69","-0.08"
"2026-08-27T12:28:33.208Z","3544668.54","3537789.12","-6879.42","-0.19"
"2026-08-27T12:28:36.218Z","3544668.54","3537634.75","-7033.79","-0.2"
"2026-08-27T12:28:39.224Z","3544668.54","3538274.63","-6393.91","-0.18"
"2026-08-27T12:28:42.237Z","3544668.54","3540635.71","-4032.83","-0.11"
"2026-08-27T12:28:45.237Z","3544668.54","3540620.35","-4048.19","-0.11"
"2026-08-27T12:28:48.238Z","3544668.54","3543158.74","-1509.8","-0.04"
"2026-08-27T12:28:51.243Z","3544668.54","3538617.29","-6051.25","-0.17"
"2026-08-27T12:28:54.253Z","3544668.54","3539087.94","-5580.6","-0.16"
"2026-08-27T12:28:57.257Z","3544668.54","3539333.56","-5334.98","-0.15"
"2026-08-27T12:29:00.260Z","3544668.54","3544154.51","-514.03","-0.01"
"2026-08-27T12:29:03.275Z","3544668.54","3539448.43","-5220.11","-0.15"
"2026-08-27T12:29:06.291Z","3544668.54","3541424.72","-3243.82","-0.09"
"2026-08-27T12:29:09.304Z","3544668.54","3536421.2","-8247.34","-0.23"
"2026-08-27T12:29:12.307Z","3544668.54","3531762.96","-12905.58","-0.36"
"2026-08-27T12:29:15.311Z","3544668.54","3535323.94","-9344.6","-0.26"
"2026-08-27T12:29:18.311Z","3544668.54","3541313.46","-3355.08","-0.09"
"2026-08-27T12:29:21.313Z","3544668.54","3541579.71","-3088.83","-0.09"
"2026-08-27T12:29:24.324Z","3544668.54","3541712.37","-2956.17","-0.08"
"2026-08-27T12:29:27.338Z","3544668.54","3542822.62","-1845.92","-0.05"
"2026-08-27T12:29:30.341Z","3544668.54","3542774.69","-1893.85","-0.05"
"2026-08-27T12:29:33.346Z","3544668.54","3543234.27","-1434.27","-0.04"
"2026-08-27T12:29:36.360Z","3544668.54","3546773.75","2105.21","0.06"
"2026-08-27T12:29:39.365Z","3544668.54","3544980.17","311.63","0.01"
"2026-08-27T12:29:42.376Z","3544668.54","3546781.62","2113.08","0.06"
"2026-08-27T12:29:45.385Z","3544668.54","3549608.2","4939.66","0.14"
"2026-08-27T12:29:48.398Z","3544668.54","3552570.83","7902.29","0.22"
"2026-08-27T12:29:51.400Z","3544668.54","3550857.96","6189.42","0.17"
"2026-08-27T12:29:54.408Z","3544668.54","3552539.93","7871.39","0.22"
"2026-08-27T12:29:57.419Z","3544668.54","3549963.61","5295.07","0.15"
"2026-08-27T12:30:00.427Z","3544668.54","3553853.62","9185.08","0.26"
"2026-08-27T12:30:03.426Z","3544668.54","3549148.94","4480.4","0.13"
"2026-08-27T12:30:06.441Z","3544668.54","3553789.73","9121.19","0.26"
"2026-08-27T12:30:09.445Z","3544668.54","3555493.2","10824.66","0.31"
"2026-08-27T12:30:12.449Z","3544668.54","3552640.4","7971.86","0.22"
"2026-08-27T12:30:15.450Z","3544668.54","3550203.64","5535.1","0.16"
"2026-08-27T12:30:18.460Z","3544668.54","3547052.12","2383.58","0.07"
"2026-08-27T12:30:21.470Z","3544668.54","3548657.39","3988.85","0.11"
"2026-08-27T12:30:24.484Z","3544668.54","3543677.4","-991.14","-0.03"
"2026-08-27T12:30:27.496Z","3544668.54","3547173.77","2505.23","0.07"
"2026-08-27T12:30:30.512Z","3544668.54","3545225.74","557.2","0.02"
"2026-08-27T12:30:33.525Z","3544668.54","3546886.7","2218.16","0.06"
"2026-08-27T12:30:36.532Z","3544668.54","3543314.32","-1354.22","-0.04"
"2026-08-27T12:30:39.545Z","3544668.54","3544921.92","253.38","0.01"
"2026-08-27T12:30:42.550Z","3544668.54","3545742.28","1073.74","0.03"
"2026-08-27T12:30:45.551Z","3544668.54","3550534.17","5865.63","0.17"
"2026-08-27T12:30:48.560Z","3544668.54","3547787.38","3118.84","0.09"
"2026-08-27T12:30:51.563Z","3544668.54","3546171.83","1503.29","0.04"
"2026-08-27T12:30:54.574Z","3544668.54","3545355.09","686.55","0.02"
"2026-08-27T12:30:57.586Z","3544668.54","3547408.08","2739.54","0.08"
"2026-08-27T12:31:00.598Z","3544668.54","3550699.65","6031.11","0.17"
"2026-08-27T12:31:03.602Z","3544668.54","3549652.26","4983.72","0.14"
"2026-08-27T12:31:06.606Z","3544668.54","3546964.42","2295.88","0.06"
"2026-08-27T12:31:09.609Z","3544668.54","3545122.18","453.64","0.01"
"2026-08-27T12:31:12.612Z","3544668.54","3546310.68","1642.14","0.05"
"2026-08-27T12:31:15.626Z","3544668.54","3543971.9","-696.64","-0.02"
"2026-08-27T12:31:18.637Z","3544668.54","3546186.69","1518.15","0.04"
"2026-08-27T12:31:21.646Z","3544668.54","3544911.72","243.18","0.01"
"2026-08-27T12:31:24.656Z","3544668.54","3546348.76","1680.22","0.05"
"2026-08-27T12:31:27.662Z","3544668.54","3548561.96","3893.42","0.11"
